刘畅的妈妈 真是一朵大奇葩 ，不喜欢就不选  干啥啊 一直说人家孩子  单亲家庭咋的   ？ 还想找个帅的 有钱的 有学历的 家庭美满的 ， 我就想说 你不看看你自己啥样  你以为你家姑娘是仙女那 ？ 活该你家姑娘嫁不出去 留着你家宝贝姑娘吧 …… 我们单亲家庭不稀罕,刘畅,-1
刘畅一家子老酒鬼。。。。,刘畅,-1
把骂刘畅妈妈的全部赞了一遍,刘畅,-1
[雨航妈妈]把所有喜欢雨航妈妈的都赞了一遍，太逗了,雨航,1
希望刘畅家庭再也别来上节目的赞我！,刘畅,-1
喜欢雨航妈妈温柔可爱好温馨雨航也很棒,雨航,1
喜欢雨航妈妈温柔可爱好温馨雨航也很棒,雨航,1
雨航妈让我觉得好幸福,雨航妈,1
女神宇航终于牵手成功开心,宇航,1
好舍不得雨航妈妈……其实男方因为岳母选择女方，挺对的……这么可爱的岳母绝对不会做出瞎搅和的事，家庭会和谐多一些……,雨航,1
本以为宇航会被妈妈坑到找不到，这期真让人意外 竟然男主看妈妈可爱而选宇航，祝你幸福,宇航,0
恭喜李雨航牵手成功，妈妈应该留下来这个节目会更精彩，最喜欢看金姐和雨航妈妈对话特别搞笑又好玩，我都乐抽了，哈哈哈哈哈哈[憨笑][憨笑][憨笑][憨笑][憨笑][憨笑],李雨航,1
恭喜李雨航牵手成功，妈妈应该留下来这个节目会更精彩，最喜欢看金姐和雨航妈妈对话特别搞笑又好玩，我都乐抽了，哈哈哈哈哈哈[憨笑][憨笑][憨笑][憨笑][憨笑][憨笑],金姐,1
恭喜李雨航牵手成功，妈妈应该留下来这个节目会更精彩，最喜欢看金姐和雨航妈妈对话特别搞笑又好玩，我都乐抽了，哈哈哈哈哈哈[憨笑][憨笑][憨笑][憨笑][憨笑][憨笑],雨航妈妈,1
雨航妈妈速度还挺快,雨航妈妈,1
雨航妈妈太可爱了，怎样的好男人才能把结婚女人养成公主,雨航妈妈,1
我是个女的看着我也都感觉好喜欢雨航好漂亮性格妈妈和她都好,雨航,1
怎么感觉雨航妈妈长得像张婷,雨航,0
怎么感觉雨航妈妈长得像张婷,张婷,0
真心欣赏不来李易峰的帅,李易峰,-1
刘畅爸爸画画还是不错的,刘畅爸爸,1
哪位亲能告知下周子杨的联系方式,周子杨,0
好喜欢李宇雨航和她妈妈很真实,雨航,1
二号男嘉宾长的很象苏有朋,苏有朋,0
怎么觉得以后看不到雨航妈妈还挺遗憾的,雨航,1
赵跃怎么跟叶隐师傅有点神似啊,赵跃,0
赵跃怎么跟叶隐师傅有点神似啊,叶隐,0
雨航要幸福，很漂亮女神,雨航,1
刘畅妈妈是想火的节奏吗,刘畅,0
李雨航赵跃他们笑容好可爱，好和拍,李雨航,1
李雨航赵跃他们笑容好可爱，好和拍,赵跃,1
雨航终于是转角遇见爱了,雨航,1
最后一个男嘉宾长得有点像付辛博,付辛博,0
宇航妈妈说话自带背景音乐,宇航妈妈,0
刘畅妈快点滚下去,刘畅妈,-1
让刘畅家庭赶紧退出节目,刘畅,0
好喜欢李雨航的麻麻，声音好温柔让人听了好舒服,李雨航,1
讨厌刘畅的妈妈讲话太攻击人了,刘畅,-1
刘畅她妈真不是个东西,刘畅,0
喜欢金星大爱你得节目,金星,1
跪求刘凯唱的那个歌名,刘凯,0
宇航和赵越挺配的,宇航,1
宇航和赵越挺配的,赵越挺,1
刘畅下一期也不会有人要,刘畅下,0
有沒有人覺得王倪的嘴巴很像王俊凯,沒有,0
有沒有人覺得王倪的嘴巴很像王俊凯,王倪,0
有沒有人覺得王倪的嘴巴很像王俊凯,王俊凯,0
看到吴亦凡三个字就来了,吴亦凡,1
只有我一个人感觉刘畅他妈太能装了吗,刘畅,-1
第一个男孩子很优秀一看就是那种懂事那种孩子他妈好有气质刘畅妈妈脑子有问题吧。看到这个孩子各种心疼,刘畅,-1
刘畅妈下次不要出来了,刘畅妈,0
一直都很喜欢雨航和他妈妈,雨航,1
求帅哥微信，好懂事和阳光,阳光,1
刘畅她妈真是个土包子,刘畅,-1
雨航妈妈真可爱 宇航也很美丽,雨航,1
雨航妈妈真可爱 宇航也很美丽,宇航,1
雨航妈妈抢镜头了太嗲声嗲气,雨航,-1
一号妈妈太像杨钰莹了,杨钰莹,0
好喜欢雨航和她妈妈超级搞笑又可爱。祝你们幸福,雨航,1
在也看不到雨航妈妈了，好漂亮好可爱，忘不了你,雨航,0
少了雨航和她妈妈都觉得没什么看头了,雨航,1
好想刘畅爸爸喝酒喝高兴了把她妈妈打一顿啊，太气人。,刘畅,-1
把那些骂刘畅家庭的都点了赞,刘畅,0
我一直觉得金星的三观真的特别正,金星,1
就我一个人特别讨厌刘畅吗,刘畅,-1
刘畅妈妈和个吊是的都那么大岁数了会不会说话不会说少说,刘畅,0
好喜欢雨航和她得妈妈，都很单纯很爱笑,雨航,1
默默地把骂刘畅妈妈的友友们都赞了一遍,刘畅妈妈,-1
刘畅她妈妈这种岳母我遇见过把我气的要死,刘畅,0
最后一个有点像付辛博,付辛博,0
好喜欢高俊飞的那一期,高俊飞,1
真不舍得让雨航走，看不到她可爱的妈妈了,雨航,0
太喜欢宇航不做作，宇航妈妈可爱,宇航,1
太喜欢宇航不做作，宇航妈妈可爱,宇航,1
雨航妈妈好可爱，祝福雨航,雨航,1
怪不得刘畅找不着对象，她那妈就让人受不了,刘畅,0
宇航和男嘉宾好般配，宇航妈妈这次棒棒哒,宇航,1
